Date,(Millions of US $)
2022,"$2,562 "
2021,"$2,579 "
2020,"$2,502 "
2019,"$1,912 "
2018,"$2,005 "
2017,"$2,032 "
2016,"$2,017 "
2015,"$1,982 "
2014,"$1,985 "
2013,"$2,025 "
2012,"$1,894 "
2011,"$1,692 "
2010,"$1,654 "
2009,"$1,665 "
