Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,
12/1/2018,138.5,154.399994,116.599998,122.800003,121.678368,2685030,,,,,,,,,,,,,
1/1/2019,120.099998,147.5,119,146.5,145.360596,2103930,,,,,,,,,,,,,
2/1/2019,145.199997,145.899994,128.199997,140.300003,139.208817,2658720,,,,,,,,,,,,,
3/1/2019,156.600006,165,141.5,148.5,147.345047,4044160,,,,,,,,,,,,,
4/1/2019,149.5,170.699997,145.300003,151.600006,150.624496,3304970,,,,,,,,,,,,,
5/1/2019,151.5,153,117.099998,119.800003,119.029114,4136480,,,,,,,,,,,,,
6/1/2019,119.400002,120.800003,92.800003,93.300003,92.699638,4817910,,,,,,,,,,,,,
7/1/2019,98.5,119.800003,87.300003,118.300003,117.751114,6801140,,,,,,,,,,,,,
8/1/2019,117,124.900002,104.599998,111.099998,110.584526,5908840,,,,,,,,,,,,,
9/1/2019,111.900002,121.300003,104.400002,107,106.50354,3771660,,,,,,,,,,,,,
10/1/2019,107.5,109.5,87.800003,93.699997,93.420692,5219300,,,,,,,,,,,,,
11/1/2019,94.5,103.5,74.699997,81.800003,81.556168,7752300,,,,,,,,,,,,,
12/1/2019,82.400002,87.800003,71.5,72.400002,72.355858,7275420,,,,,,,,,,,,,
1/1/2020,73,76,62.5,65.199997,65.16024,6608580,,,,,,,,,,,,,
2/1/2020,65,77.800003,51.200001,62.599998,62.561829,5801730,,,,,,,,,,,,,
3/1/2020,63.099998,63.200001,19.5,31.6,31.580732,12318290,,,,,,,,,,,,,
4/1/2020,30,55.299999,19.5,49.200001,49.200001,23082170,,,,,,,,,,,,,
5/1/2020,46.200001,64.099998,38.099998,51.299999,51.299999,22659740,,,,,,,,,,,,,
6/1/2020,50.299999,73.5,37.5,42.900002,42.900002,17007920,,,,,,,,,,,,,
7/1/2020,42.599998,48.200001,38.099998,40.400002,40.400002,8177990,,,,,,,,,,,,,
8/1/2020,40.5,71,38.599998,58.799999,58.799999,19674440,,,,,,,,,,,,,
9/1/2020,57.900002,77.099998,43.599998,47.099998,47.099998,14228780,,,,,,,,,,,,,
10/1/2020,47.799999,48,22.799999,23.6,23.6,25042970,,,,,,,,,,,,,
11/1/2020,23,50,21.1,42.700001,42.700001,56334630,,,,,,,,,,,,,
12/1/2020,44.299999,44.299999,20.799999,21.200001,21.200001,61387880,,,,,,,,,,,,,
1/1/2021,22,203.600006,19.1,132.600006,132.600006,461926050,,,,,,,,,,,,,
2/1/2021,170,172.5,52.599998,80.099998,80.099998,363385340,,,,,,,,,,,,,
3/1/2021,88.599998,145.399994,75,102.099998,102.099998,247359070,,,,,,,,,,,,,
4/1/2021,102.300003,122.199997,83.099998,100.300003,100.300003,93774920,,,,,,,,,,,,,
5/1/2021,101.099998,367.200012,89.300003,261.200012,261.200012,342906800,,,,,,,,,,,,,
6/1/2021,318.899994,726.200012,285.299988,566.799988,566.799988,552009010,,,,,,,,,,,,,
7/1/2021,568.599976,577.099976,311.5,370.200012,370.200012,207826270,,,,,,,,,,,,,
8/1/2021,375.799988,483,289.100006,471.299988,471.299988,202968870,,,,,,,,,,,,,
9/1/2021,471.600006,527.900024,337.399994,380.600006,380.600006,140000590,,,,,,,,,,,,,
10/1/2021,394.100006,444.399994,345.299988,353.700012,353.700012,81216040,,,,,,,,,,,,,
11/1/2021,356.5,459.5,327.5,339.399994,339.399994,73126990,,,,,,,,,,,,,
12/1/2021,347.100006,349.399994,208,272,272,119254890,,,,,,,,,,,,,
1/1/2022,274.200012,281.299988,134,160.600006,160.600006,96772890,,,,,,,,,,,,,
2/1/2022,181.5,209.600006,146.5,188.600006,188.600006,98367720,,,,,,,,,,,,,
3/1/2022,190,343.299988,129,246.399994,246.399994,151744010,,,,,,,,,,,,,
4/1/2022,251.300003,252.800003,147,153,153,71012450,,,,,,,,,,,,,
5/1/2022,151,161.300003,97,143.399994,143.399994,106887090,,,,,,,,,,,,,
6/1/2022,140.100006,147.5,110.900002,135.5,135.5,82007240,,,,,,,,,,,,,
7/1/2022,134.800003,183.699997,121.599998,145.600006,145.600006,71300270,,,,,,,,,,,,,
8/1/2022,143.300003,275,86.800003,91.199997,91.199997,144542260,,,,,,,,,,,,,
9/1/2022,90.300003,107.5,68.099998,69.699997,69.699997,54883410,,,,,,,,,,,,,
10/1/2022,68.400002,81.300003,54.700001,66.599998,66.599998,47378160,,,,,,,,,,,,,
11/1/2022,67.599998,83.5,50.5,72.300003,72.300003,55740010,,,,,,,,,,,,,
12/1/2022,72.900002,91.5,38.099998,40.700001,40.700001,66011810,,,,,,,,,,,,,
1/1/2023,41.400002,65.5,37.700001,53.5,53.5,59321450,,,,,,,,,,,,,
2/1/2023,53,85.300003,43.900002,71.400002,71.400002,96052700,,,,,,,,,,,,,
3/1/2023,68,71.099998,40.599998,50.099998,50.099998,64686880,,,,,,,,,,,,,
4/1/2023,49.900002,57.599998,38.799999,55,55,61025520,,,,,,,,,,,,,
5/1/2023,55.299999,61.099998,43.799999,45,45,35134810,,,,,,,,,,,,,
6/1/2023,45.099998,51.5,40.099998,44,44,36096590,,,,,,,,,,,,,
7/1/2023,43.900002,62.299999,41.700001,49.700001,49.700001,78407850,,,,,,,,,,,,,
8/1/2023,49.299999,54.599998,10.72,12.55,12.55,299686390,,,,,,,,,,,,,
9/1/2023,12.68,13.76,7.05,7.99,7.99,560496800,,,,,,,,,,,,,
10/1/2023,8.06,11.17,7.73,10.68,10.68,442135100,,,,,,,,,,,,,
11/1/2023,10.76,11.43,7.61,7.89,7.89,257636300,,,,,,,,,,,,,
