Date,(Millions of US $)
2022,"$5,174 "
2021,"$5,471 "
2020,"$5,779 "
2019,"$4,823 "
2018,"$5,201 "
2017,"$4,799 "
2016,"$4,355 "
2015,"$1,996 "
2014,"$1,877 "
2013,"$2,179 "
2012,"$2,187 "
2012,null
2011,null
